URLs,Subdirs
https://medium.com/www-sophiamendelsohn-com/video-who-knew-the-auto-industry-could-make-a-good-sustainability-video-86c35e6bc25b,"['www-sophiamendelsohn-com', 'video-who-knew-the-auto-industry-could-make-a-good-sustainability-video-86c35e6bc25b']"
https://medium.com/war-is-boring/sebastian-junger-knows-why-young-men-go-to-war-f163804cbf6,"['war-is-boring', 'sebastian-junger-knows-why-young-men-go-to-war-f163804cbf6']"
https://medium.com/churchofgodinhk/早上親近主的快樂-梁穎斌-17292d403e63,"['churchofgodinhk', '早上親近主的快樂-梁穎斌-17292d403e63']"
https://medium.com/squishturtle/10-video-games-you-dont-want-to-miss-in-2015-fc1faabbba9,"['squishturtle', '10-video-games-you-dont-want-to-miss-in-2015-fc1faabbba9']"
https://medium.com/vbriefly/waging-half-the-war-e2bdd3d5320d,"['vbriefly', 'waging-half-the-war-e2bdd3d5320d']"
https://medium.com/juntos-con-lagos/el-poder-a-un-clic-17af179c441b,"['juntos-con-lagos', 'el-poder-a-un-clic-17af179c441b']"
https://medium.com/rasterclub/el-poder-a-un-clic-917d973c4679,"['rasterclub', 'el-poder-a-un-clic-917d973c4679']"
https://medium.com/lainercia/less-than-you-think-la-anticanción-de-wilco-d9abba6486c4,"['lainercia', 'less-than-you-think-la-anticanción-de-wilco-d9abba6486c4']"
https://medium.com/the-media-diet-experiment/the-challenge-we-bring-to-the-media-industry-31978e1a07a4,"['the-media-diet-experiment', 'the-challenge-we-bring-to-the-media-industry-31978e1a07a4']"
https://medium.com/churchofgodinhk/是耶穌的愛改變了我的心-岑若霞-4d22d4ee2462,"['churchofgodinhk', '是耶穌的愛改變了我的心-岑若霞-4d22d4ee2462']"
https://medium.com/ive-had-it-with-hollywood/timbuktu-3629ebe5821d,"['ive-had-it-with-hollywood', 'timbuktu-3629ebe5821d']"
https://medium.com/message/never-trust-a-corporation-to-do-a-librarys-job-f58db4673351,"['message', 'never-trust-a-corporation-to-do-a-librarys-job-f58db4673351']"
https://medium.com/127-days-challenge/127-days-challenge-day-15-e37cf92567e,"['127-days-challenge', '127-days-challenge-day-15-e37cf92567e']"
https://medium.com/the-hairpin/unofficial-official-hairpin-3-0-book-club-watch-the-movie-d67531fa7c1e,"['the-hairpin', 'unofficial-official-hairpin-3-0-book-club-watch-the-movie-d67531fa7c1e']"
https://medium.com/mixx-io/sony-eliminar-aacute-el-soporte-para-maps-near-y-youtube-en-ps-vita-http-es-gizmodo-com-sony-9713970b61c8,"['mixx-io', 'sony-eliminar-aacute-el-soporte-para-maps-near-y-youtube-en-ps-vita-http-es-gizmodo-com-sony-9713970b61c8']"
https://medium.com/human-agricultural-genetics-news/glp-radio-interview-girl-scouts-refuse-to-bow-to-activist-pressure-to-go-non-gmo-f8edca6cc352,"['human-agricultural-genetics-news', 'glp-radio-interview-girl-scouts-refuse-to-bow-to-activist-pressure-to-go-non-gmo-f8edca6cc352']"
https://medium.com/the-ideo-futures-podcast/design-themes-for-2015-from-ideo-futures-80a654b9e5c5,"['the-ideo-futures-podcast', 'design-themes-for-2015-from-ideo-futures-80a654b9e5c5']"
https://medium.com/denton-isd/blanton-teaches-better-nutrition-d21098117b00,"['denton-isd', 'blanton-teaches-better-nutrition-d21098117b00']"
https://medium.com/vevens-gang/arcticstartup-bullish-på-den-norske-oppstartscenen-987fb9504b06,"['vevens-gang', 'arcticstartup-bullish-på-den-norske-oppstartscenen-987fb9504b06']"
https://medium.com/il-segno-chiaro/abbandonando-roon-io-4ee327c6bd51,"['il-segno-chiaro', 'abbandonando-roon-io-4ee327c6bd51']"
https://medium.com/featured-on-learnist/this-week-on-learnist-d39c13c08f04,"['featured-on-learnist', 'this-week-on-learnist-d39c13c08f04']"
https://medium.com/cuepoint/edm-needs-an-intervention-d87c53ed4abd,"['cuepoint', 'edm-needs-an-intervention-d87c53ed4abd']"
https://medium.com/denton-isd/helicopter-landing-surprises-elementary-students-d5685b945f0a,"['denton-isd', 'helicopter-landing-surprises-elementary-students-d5685b945f0a']"
https://medium.com/mundo-policromatico/el-circo-ha-llegado-a-la-ciudad-519f50693846,"['mundo-policromatico', 'el-circo-ha-llegado-a-la-ciudad-519f50693846']"
https://medium.com/zeitguide-newsletters/zeitguide-to-oil-5a9c4d7395c8,"['zeitguide-newsletters', 'zeitguide-to-oil-5a9c4d7395c8']"
https://medium.com/hungry-fan/super-bowl-xlix-a-taste-of-seattle-14cc547eb71f,"['hungry-fan', 'super-bowl-xlix-a-taste-of-seattle-14cc547eb71f']"
https://medium.com/rise-over-run/charlotte-johnston-ca8e9ec1dd7e,"['rise-over-run', 'charlotte-johnston-ca8e9ec1dd7e']"
https://medium.com/ipg-media-lab/heres-how-marketers-are-using-mobile-at-this-super-bowl-84d7e41ba750,"['ipg-media-lab', 'heres-how-marketers-are-using-mobile-at-this-super-bowl-84d7e41ba750']"
https://medium.com/ipg-media-lab/beware-of-the-privacy-threats-posed-by-iot-devices-16f48373bb25,"['ipg-media-lab', 'beware-of-the-privacy-threats-posed-by-iot-devices-16f48373bb25']"
https://medium.com/who-what-why/start-the-new-year-with-habits-and-systems-not-goals-78ec23376bf2,"['who-what-why', 'start-the-new-year-with-habits-and-systems-not-goals-78ec23376bf2']"
https://medium.com/tiny-tiny/era-um-vez-um-pintinho-cabecudo-777f2e90e20,"['tiny-tiny', 'era-um-vez-um-pintinho-cabecudo-777f2e90e20']"
https://medium.com/ipg-media-lab/by-the-numbers-a-stats-breakdown-of-apples-monster-quarter-cc004054eb01,"['ipg-media-lab', 'by-the-numbers-a-stats-breakdown-of-apples-monster-quarter-cc004054eb01']"
https://medium.com/thrive-global/meditation-for-the-new-year-bbe42af07794,"['thrive-global', 'meditation-for-the-new-year-bbe42af07794']"
https://medium.com/nyc-design/where-low-res-prototypes-fail-b16b59cfbe81,"['nyc-design', 'where-low-res-prototypes-fail-b16b59cfbe81']"
https://medium.com/application-mania/unix-on-mac-os-d499ccb1d13c,"['application-mania', 'unix-on-mac-os-d499ccb1d13c']"
https://medium.com/psyc-406-2015/is-adhd-medication-considered-academic-misconduct-7e4da22f3fbf,"['psyc-406-2015', 'is-adhd-medication-considered-academic-misconduct-7e4da22f3fbf']"
