URLs,Subdirs
https://medium.com/newbie-on-rails/about,"['newbie-on-rails', 'about']"
https://medium.com/newbie-on-rails,['newbie-on-rails']
https://medium.com/throttle-response/about,"['throttle-response', 'about']"
https://medium.com/throttle-response,['throttle-response']
https://medium.com/lit-for-the-winn/about,"['lit-for-the-winn', 'about']"
https://medium.com/lit-for-the-winn,['lit-for-the-winn']
https://medium.com/congruent-joy/about,"['congruent-joy', 'about']"
https://medium.com/congruent-joy,['congruent-joy']
https://medium.com/grizz-kim/about,"['grizz-kim', 'about']"
https://medium.com/grizz-kim,['grizz-kim']
https://medium.com/dear-deathbed/about,"['dear-deathbed', 'about']"
https://medium.com/dear-deathbed,['dear-deathbed']
https://medium.com/internet-monitor-2014-data-and-privacy/about,"['internet-monitor-2014-data-and-privacy', 'about']"
https://medium.com/internet-monitor-2014-data-and-privacy,['internet-monitor-2014-data-and-privacy']
https://medium.com/what-a-tangled-web-we-weave/about,"['what-a-tangled-web-we-weave', 'about']"
https://medium.com/what-a-tangled-web-we-weave,['what-a-tangled-web-we-weave']
https://medium.com/the-new-face-of-farming/about,"['the-new-face-of-farming', 'about']"
https://medium.com/the-new-face-of-farming,['the-new-face-of-farming']
https://medium.com/smart-world-smart-thinking/about,"['smart-world-smart-thinking', 'about']"
https://medium.com/smart-world-smart-thinking,['smart-world-smart-thinking']
https://medium.com/painting-evolved/about,"['painting-evolved', 'about']"
https://medium.com/painting-evolved,['painting-evolved']
https://medium.com/cronicas-de-california/about,"['cronicas-de-california', 'about']"
https://medium.com/cronicas-de-california,['cronicas-de-california']
https://medium.com/spacet-me-labs-presents/about,"['spacet-me-labs-presents', 'about']"
https://medium.com/spacet-me-labs-presents,['spacet-me-labs-presents']
https://medium.com/teen-inventor/about,"['teen-inventor', 'about']"
https://medium.com/teen-inventor,['teen-inventor']
https://medium.com/sobre-musica/about,"['sobre-musica', 'about']"
https://medium.com/sobre-musica,['sobre-musica']
https://medium.com/on-becoming/about,"['on-becoming', 'about']"
https://medium.com/on-becoming,['on-becoming']
https://medium.com/m-s-n-k-r-m-i-d/about,"['m-s-n-k-r-m-i-d', 'about']"
https://medium.com/m-s-n-k-r-m-i-d,['m-s-n-k-r-m-i-d']
