URLs,Subdirs
https://medium.com/@SilhouetteScreams/well-agree-to-disagree-then-17091b9f8560,"['@SilhouetteScreams', 'well-agree-to-disagree-then-17091b9f8560']"
https://medium.com/@SilhouetteScreams/i-stopped-allowing-masculine-chaos-in-my-life-and-suddenly-the-feminine-chaos-resolved-itself-5f44dcf69266,"['@SilhouetteScreams', 'i-stopped-allowing-masculine-chaos-in-my-life-and-suddenly-the-feminine-chaos-resolved-itself-5f44dcf69266']"
https://medium.com/@SilhouetteScreams/the-male-conversation-on-abortion-starts-with-implementing-criminal-and-civil-penalties-for-5be3a664bb0d,"['@SilhouetteScreams', 'the-male-conversation-on-abortion-starts-with-implementing-criminal-and-civil-penalties-for-5be3a664bb0d']"
https://medium.com/@SilhouetteScreams/im-a-woman-who-works-in-a-field-without-women-60f0651c07bf,"['@SilhouetteScreams', 'im-a-woman-who-works-in-a-field-without-women-60f0651c07bf']"
https://medium.com/@SilhouetteScreams/well-agree-to-disagree-984952b0a346,"['@SilhouetteScreams', 'well-agree-to-disagree-984952b0a346']"
https://medium.com/@SilhouetteScreams/the-doctors-are-reporting-that-israeli-bodies-carry-evidence-of-dismemberment-and-rape-3784510cc1a9,"['@SilhouetteScreams', 'the-doctors-are-reporting-that-israeli-bodies-carry-evidence-of-dismemberment-and-rape-3784510cc1a9']"
https://medium.com/@SilhouetteScreams/could-you-try-pulling-yourself-out-of-your-memories-into-the-present-moment-40c1151f2970,"['@SilhouetteScreams', 'could-you-try-pulling-yourself-out-of-your-memories-into-the-present-moment-40c1151f2970']"
https://medium.com/@SilhouetteScreams/i-think-there-are-some-people-in-the-comments-who-dont-understand-sexual-boundaries-e424c7ae29f1,"['@SilhouetteScreams', 'i-think-there-are-some-people-in-the-comments-who-dont-understand-sexual-boundaries-e424c7ae29f1']"
https://medium.com/@SilhouetteScreams/i-really-enjoy-your-writing-65f738ac57a3,"['@SilhouetteScreams', 'i-really-enjoy-your-writing-65f738ac57a3']"
https://medium.com/@SilhouetteScreams/hi-im-a-young-women-b987288b2ec9,"['@SilhouetteScreams', 'hi-im-a-young-women-b987288b2ec9']"
https://medium.com/@SilhouetteScreams/hi-there-for-my-daughter-and-i-age-5-was-when-she-noticed-the-other-kids-have-a-dad-and-she-a6a6df5cfa75,"['@SilhouetteScreams', 'hi-there-for-my-daughter-and-i-age-5-was-when-she-noticed-the-other-kids-have-a-dad-and-she-a6a6df5cfa75']"
https://medium.com/@SilhouetteScreams/i-understand-that-many-people-have-reproductive-disorders-resulting-in-extreme-pain-and-life-13f7859c385d,"['@SilhouetteScreams', 'i-understand-that-many-people-have-reproductive-disorders-resulting-in-extreme-pain-and-life-13f7859c385d']"
